Codigo,Descricao,Categoria,Quantidade,Local,Sublocal,Tecido,Cristais,Eletricista
001-0001,ABAJUR BOMBA DE GASOLINA GRANDE,ABAJUR,3,Galpao,Setor 1,0,0,0
001-0002,ABAJUR BOMBA DE GASOLINA PEQUENO,ABAJUR,1,Armazem 500,Armazem 500,0,0,0
001-0003,ABAJUR DE CRISTAL E INOX GRANDE,ABAJUR,26,Loja,Area do Galpao,0,0,0
001-0004,ABAJUR DE CRISTAL E INOX PEQUENO,ABAJUR,4,Armazem 500,Armazem 500,0,0,0
001-0005,ABAJUR DE MESA ARTISTAS BONECA DE LOUCA,ABAJUR,2,Galpao,Setor 2,0,0,0
001-0006,ABAJUR DE PÉ COM DESENHOS BRANCO,ABAJUR,2,Loja,Area do Galpao,0,0,0
001-0007,ABAJUR DE PÉ COM DESENHOS PRETO,ABAJUR,4,Galpao,Setor 4,0,0,0
001-0008,ABAJUR DE TECIDO GIGANTE,ABAJUR,2,Galpao,Setor 3,0,0,0
001-0009,ABAJUR DE TELA,ABAJUR,15,Galpao,Setor 1,0,0,0
001-0010,ABAJUR GIGANTE CÚPULA BRANCA,ABAJUR,2,Loja,Area do Galpao,1,0,0
001-0011,ABAJUR MARROM CÚPULA BRANCA (ARTEFACTO),ABAJUR,2,Loja,Area do Galpao,0,0,0
001-0012,ABAJUR EM MDF BRANCO,ABAJUR,1,Galpao,Setor 2,1,0,1
001-0013,ABAJUR OURO DA LINHA NOVA,ABAJUR,2,Armazem 500,Armazem 500,0,0,0
001-0014,ABAJUR PHILIPPE STARK EM ACRÍLICO PRETO,ABAJUR,4,Maison Blue,Maison Blue,1,0,0
001-0015,ABAJUR PHILIPPE STARK EM ACRÍLICO TRANSPARENTE,ABAJUR,3,Galpao,Setor 2,1,0,0
001-0016,ABAJUR PRATA 05 LÂMPADAS,ABAJUR,2,Galpao,Setor 2,0,0,0
001-0017,ABAJUR PRATA E INOX,ABAJUR,2,Loja,Area do Galpao,0,0,0
001-0018,ABAJOUR VERDE DE ARABESCO COM CUPULA BEGE,ABAJUR,1,Galpao,Setor 2,0,0,0
001-0019,ABAJUR COM PÉ PRETO E ESPELHADO CÚPULA BRANCA,ABAJUR,1,Loja,Area do Galpao,0,0,0
001-0020,ABAJUR PRETO CÚPULA EM TECIDO,ABAJUR,2,Galpao,Setor 2,0,0,0
001-0021,ABAJUR BASE DE FERRO PRETA VAZADA COM CÚPULA PRETA,ABAJUR,1,Galpao,Setor 2,0,0,0
001-0022,ABAJUR VERDE EM PORCELANA SEM CÚPULA,ABAJUR,1,Maison Blue,Maison Blue,0,0,0
001-0023,ABAJUR PRETO EM PORCELANA SEM CÚLULA,ABAJUR,3,Galpao,Setor 4,0,0,0
001-0024,MINI ABAJUR DE CRISTAL E INOX,ABAJUR,4,Loja,Area do Galpao,0,0,0
001-0025,ABAJUR RETANGULAR COM BASE DE GALHOS DE ÁRVORE COM CÚPULA BRANCA,ABAJUR,1,Galpao,Setor 3,0,0,0
001-0026,"ABAJUR TAÇA CANDLE HOLDER (P, M & G)",ABAJUR,37,Loja,Area do Galpao,0,0,0
001-0027,ÂNFORA DE FERRO BRACO DE RESINA DOURADO,ABAJUR,8,Galpao,Setor 2,0,0,0
002-0001,ALMOFADA BAGUETE SERIGRAFADA COR MARROM,ALMOFADA,2,Armazem 500,Armazem 500,0,0,0
